Date,Open,High,Low,Close,Adj Close,Volume
2021-07-25,5.892614,6.369158,5.788376,6.140801,6.140801,23288449
2021-07-26,6.136167,7.315476,6.102699,6.122189,6.122189,42035756
2021-07-27,6.107286,6.435182,5.798715,6.419407,6.419407,26965498
2021-07-28,6.443237,6.577211,6.077219,6.202073,6.202073,23374607
2021-07-29,6.200334,6.399166,6.104876,6.265548,6.265548,20977092
2021-07-30,6.279992,6.681309,5.992027,6.660565,6.660565,29392091
2021-07-31,6.659936,7.111238,6.491905,7.097287,7.097287,26201883
2021-08-01,7.070040,7.137379,6.564115,6.564115,6.564115,24796133
2021-08-02,6.570776,6.780457,6.401930,6.484552,6.484552,22505239
2021-08-03,6.484376,6.625443,6.274446,6.533162,6.533162,20421731
2021-08-04,6.548074,6.826517,6.302338,6.725583,6.725583,22777286
2021-08-05,6.725643,8.488093,6.630125,8.007267,8.007267,111300864
2021-08-06,8.000651,8.194047,7.529800,7.845145,7.845145,49916755
2021-08-07,7.843101,8.324492,7.782556,8.232455,8.232455,40750213
2021-08-08,8.227338,9.426576,7.886126,8.484784,8.484784,68788185
2021-08-09,8.486489,9.150573,7.989776,8.515496,8.515496,61549024
2021-08-10,8.508079,8.980557,8.343289,8.637767,8.637767,38306402
2021-08-11,8.650377,9.354884,8.618930,8.817262,8.817262,43855797
2021-08-12,8.791535,9.537892,8.475563,9.451041,9.451041,51918246
2021-08-13,9.433795,10.647792,9.195568,9.540668,9.540668,41936520
2021-08-14,9.540298,9.598980,9.115672,9.445017,9.445017,32606959
2021-08-15,9.445655,9.483046,8.932943,9.381416,9.381416,25987899
2021-08-16,9.388860,9.851445,9.301120,9.518055,9.518055,37197551
2021-08-17,9.487473,10.561337,9.303394,9.371816,9.371816,59042042
2021-08-18,9.389826,9.533882,8.962324,9.100086,9.100086,38310247
2021-08-19,9.077355,10.495295,8.931362,10.220978,10.220978,52016927
2021-08-20,10.207668,11.098025,10.139398,10.754423,10.754423,46288286
2021-08-21,10.737823,14.231472,10.512117,12.943264,12.943264,107336469
2021-08-22,12.971558,15.006990,12.173165,12.623366,12.623366,119457780
2021-08-23,12.593681,13.317391,12.218585,12.278848,12.278848,53631485
2021-08-24,12.282099,12.453928,11.324182,11.635586,11.635586,45976439
2021-08-25,11.636332,12.624144,11.292100,12.342306,12.342306,50946739
2021-08-26,12.352119,12.531136,10.853692,10.943959,10.943959,47115246
2021-08-27,10.908450,11.892922,10.607092,11.642803,11.642803,38066738
2021-08-28,11.676894,11.729813,11.041123,11.316657,11.316657,28464928
2021-08-29,11.316427,11.562700,10.965483,11.100041,11.100041,33103357
2021-08-30,11.101318,12.851478,10.832590,11.757877,11.757877,81750473
2021-08-31,11.804463,11.877238,11.071005,11.251786,11.251786,50599663
2021-09-01,11.247604,13.646212,11.050658,13.513126,13.513126,80165702
2021-09-02,13.530991,14.142119,12.885241,12.891948,12.891948,61258142
2021-09-03,12.931956,13.254928,12.443408,13.136309,13.136309,39002658
2021-09-04,13.128907,14.354106,13.076762,13.910182,13.910182,50857528
2021-09-05,13.902064,14.920156,13.200402,13.378058,13.378058,66966808
2021-09-06,13.385269,16.582058,13.326013,15.504205,15.504205,95337679
2021-09-07,15.474101,15.493874,11.211415,12.723171,12.723171,67830443
2021-09-08,12.715823,13.372178,11.549415,12.091039,12.091039,58011525
2021-09-09,11.723425,12.812760,11.371430,11.901877,11.901877,68750818
2021-09-10,11.901790,12.464573,10.827676,10.981567,10.981567,48542839
2021-09-11,10.982343,11.943512,10.741456,11.679864,11.679864,44835963
2021-09-12,11.689300,13.780332,11.423261,12.207442,12.207442,84962257
2021-09-13,12.207854,12.277816,10.519687,10.748761,10.748761,59334213
2021-09-14,10.751329,11.476610,10.649309,11.269309,11.269309,47893987
2021-09-15,11.259905,11.573348,11.056317,11.351762,11.351762,37066055
